symbol,confidence,contractions_count,base_length_days,volume_trend,breakout_detected,breakout_date,breakout_price,pullback_range_min,pullback_range_max,notes
TMO,1.0,2,38,decreasing,True,2025-10-01,530.73,6.1,8.6,2 contractions detected; Pullback range: 6.1% - 8.6%; Volume trend: decreasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
BIIB,1.0,3,43,stable,True,2025-10-01,154.22,5.6,8.0,3 contractions detected; Pullback range: 5.6% - 8.0%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
UNH,0.95,2,37,decreasing,True,2025-10-03,360.2,7.0,7.6,2 contractions detected; Pullback range: 7.0% - 7.6%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
LHX,0.95,2,56,decreasing,True,2025-09-26,293.56,3.4,4.7,2 contractions detected; Pullback range: 3.4% - 4.7%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
AMD,0.9,3,55,stable,True,2025-10-06,203.71,12.7,15.2,3 contractions detected; Pullback range: 12.7% - 15.2%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
CSCO,0.9,2,39,stable,True,2025-10-08,70.33,5.0,9.4,2 contractions detected; Pullback range: 5.0% - 9.4%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
ABBV,0.9,2,41,stable,True,2025-09-30,231.54,3.3,3.3,2 contractions detected; Pullback range: 3.3% - 3.3%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
MRK,0.9,4,69,stable,True,2025-10-01,90.13,3.5,10.0,4 contractions detected; Pullback range: 3.5% - 10.0%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
AMGN,0.9,2,42,stable,True,2025-10-01,298.5,6.1,9.2,2 contractions detected; Pullback range: 6.1% - 9.2%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
MDT,0.9,3,61,stable,True,2025-09-30,95.24,3.1,6.0,3 contractions detected; Pullback range: 3.1% - 6.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
IQV,0.9,2,29,stable,True,2025-10-01,203.79,4.6,9.4,2 contractions detected; Pullback range: 4.6% - 9.4%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
BK,0.9,3,55,stable,True,2025-09-26,109.53,3.7,4.6,3 contractions detected; Pullback range: 3.7% - 4.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
SBUX,0.9,4,64,stable,True,2025-10-02,86.72,3.8,13.6,4 contractions detected; Pullback range: 3.8% - 13.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
HSY,0.9,3,48,stable,True,2025-10-03,195.13,3.8,12.6,3 contractions detected; Pullback range: 3.8% - 12.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
ETN,0.9,3,56,stable,True,2025-09-26,365.58,4.9,11.7,3 contractions detected; Pullback range: 4.9% - 11.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
SHOP,0.9,2,46,stable,True,2025-09-29,149.0,4.9,15.0,2 contractions detected; Pullback range: 4.9% - 15.0%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
TSLA,0.8,2,50,stable,True,2025-09-26,440.4,8.4,9.9,2 contractions detected; Pullback range: 8.4% - 9.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
QCOM,0.8,2,57,stable,True,2025-09-26,169.2,4.2,11.9,2 contractions detected; Pullback range: 4.2% - 11.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
INTU,0.8,2,54,stable,True,2025-09-26,698.26,5.8,21.0,2 contractions detected; Pullback range: 5.8% - 21.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
KLAC,0.8,2,49,stable,True,2025-09-30,1078.6,4.7,13.1,2 contractions detected; Pullback range: 4.7% - 13.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
LRCX,0.8,2,29,stable,True,2025-09-26,128.33,9.6,10.1,2 contractions detected; Pullback range: 9.6% - 10.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
NXPI,0.8,2,56,decreasing,False,,,10.7,12.8,2 contractions detected; Pullback range: 10.7% - 12.8%; Volume trend: decreasing; Price near recent highs; Confidence: 0.80
ABT,0.8,2,45,stable,True,2025-09-30,133.94,4.7,4.8,2 contractions detected; Pullback range: 4.7% - 4.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
GILD,0.8,3,60,stable,True,2025-10-08,118.25,6.1,8.7,3 contractions detected; Pullback range: 6.1% - 8.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
GS,0.8,2,55,stable,True,2025-09-26,802.51,5.8,5.9,2 contractions detected; Pullback range: 5.8% - 5.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MS,0.8,2,54,stable,True,2025-09-26,160.11,5.4,5.9,2 contractions detected; Pullback range: 5.4% - 5.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
AXP,0.8,2,56,stable,True,2025-09-26,341.68,3.5,8.1,2 contractions detected; Pullback range: 3.5% - 8.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
CME,0.8,2,50,stable,True,2025-09-26,270.28,2.5,10.3,2 contractions detected; Pullback range: 2.5% - 10.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
ALL,0.8,2,41,stable,True,2025-09-26,212.76,6.3,6.6,2 contractions detected; Pullback range: 6.3% - 6.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
TJX,0.8,2,42,stable,True,2025-09-26,143.09,2.0,7.4,2 contractions detected; Pullback range: 2.0% - 7.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
RL,0.8,2,37,stable,True,2025-09-26,311.97,6.8,10.9,2 contractions detected; Pullback range: 6.8% - 10.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
CVX,0.8,3,59,decreasing,False,,,3.4,5.5,3 contractions detected; Pullback range: 3.4% - 5.5%; Volume trend: decreasing; Price near recent highs; Confidence: 0.80
XOM,0.8,2,59,stable,True,2025-09-26,117.22,6.0,6.6,2 contractions detected; Pullback range: 6.0% - 6.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
OXY,0.8,4,63,increasing,True,2025-09-29,48.1,3.7,7.3,4 contractions detected; Pullback range: 3.7% - 7.3%; Volume trend: increasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
DUK,0.8,3,51,stable,True,2025-09-26,123.02,2.6,4.9,3 contractions detected; Pullback range: 2.6% - 4.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
XEL,0.8,3,41,increasing,True,2025-09-26,79.28,2.6,7.3,3 contractions detected; Pullback range: 2.6% - 7.3%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
CAT,0.8,2,54,stable,True,2025-09-26,465.76,6.2,8.1,2 contractions detected; Pullback range: 6.2% - 8.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MMM,0.8,2,30,stable,True,2025-10-02,158.8,5.1,5.5,2 contractions detected; Pullback range: 5.1% - 5.5%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
GD,0.8,2,29,stable,True,2025-09-26,330.34,2.2,2.6,2 contractions detected; Pullback range: 2.2% - 2.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
OTIS,0.8,2,43,stable,True,2025-10-01,92.36,3.7,5.5,2 contractions detected; Pullback range: 3.7% - 5.5%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
EQIX,0.8,4,55,stable,True,2025-10-08,803.62,3.7,6.1,4 contractions detected; Pullback range: 3.7% - 6.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
PSA,0.8,3,37,stable,True,2025-10-03,293.54,2.6,7.7,3 contractions detected; Pullback range: 2.6% - 7.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
DLR,0.8,2,59,stable,True,2025-09-26,171.46,6.6,10.7,2 contractions detected; Pullback range: 6.6% - 10.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
CCI,0.8,2,39,stable,True,2025-09-30,96.49,4.1,12.7,2 contractions detected; Pullback range: 4.1% - 12.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
ROKU,0.8,2,53,increasing,True,2025-10-01,103.57,8.7,17.0,2 contractions detected; Pullback range: 8.7% - 17.0%; Volume trend: increasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
EOG,0.75,3,59,stable,False,,,5.3,8.0,3 contractions detected; Pullback range: 5.3% - 8.0%; Volume trend: stable; Price near recent highs; Confidence: 0.75
ITW,0.75,3,35,stable,False,,,2.8,4.1,3 contractions detected; Pullback range: 2.8% - 4.1%; Volume trend: stable; Price near recent highs; Confidence: 0.75
MU,0.7,2,50,stable,True,2025-09-26,157.17,10.0,11.8,2 contractions detected; Pullback range: 10.0% - 11.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
ANET,0.7,2,37,stable,True,2025-10-08,157.36,10.1,11.4,2 contractions detected; Pullback range: 10.1% - 11.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
PANW,0.7,2,55,increasing,True,2025-09-26,202.37,4.8,21.5,2 contractions detected; Pullback range: 4.8% - 21.5%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
MET,0.7,2,38,increasing,True,2025-09-29,82.07,4.4,8.0,2 contractions detected; Pullback range: 4.4% - 8.0%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
WELL,0.7,2,56,increasing,True,2025-09-26,174.9,3.9,5.3,2 contractions detected; Pullback range: 3.9% - 5.3%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
MSFT,0.65,2,50,stable,False,,,6.8,7.4,2 contractions detected; Pullback range: 6.8% - 7.4%; Volume trend: stable; Price near recent highs; Confidence: 0.65
AMZN,0.65,2,40,stable,False,,,5.8,10.6,2 contractions detected; Pullback range: 5.8% - 10.6%; Volume trend: stable; Price near recent highs; Confidence: 0.65
CDNS,0.65,4,50,stable,False,,,4.2,10.0,4 contractions detected; Pullback range: 4.2% - 10.0%; Volume trend: stable; Price near recent highs; Confidence: 0.65
ISRG,0.65,2,37,stable,False,,,9.1,10.8,2 contractions detected; Pullback range: 9.1% - 10.8%; Volume trend: stable; Price near recent highs; Confidence: 0.65
IDXX,0.65,2,46,stable,False,,,4.6,9.4,2 contractions detected; Pullback range: 4.6% - 9.4%; Volume trend: stable; Price near recent highs; Confidence: 0.65
ILMN,0.65,4,66,stable,False,,,5.9,16.9,4 contractions detected; Pullback range: 5.9% - 16.9%; Volume trend: stable; Price near recent highs; Confidence: 0.65
V,0.65,2,50,stable,False,,,5.6,8.3,2 contractions detected; Pullback range: 5.6% - 8.3%; Volume trend: stable; Price near recent highs; Confidence: 0.65
AON,0.65,2,41,stable,False,,,3.9,7.6,2 contractions detected; Pullback range: 3.9% - 7.6%; Volume trend: stable; Price near recent highs; Confidence: 0.65
BKNG,0.65,2,35,stable,False,,,3.9,7.1,2 contractions detected; Pullback range: 3.9% - 7.1%; Volume trend: stable; Price near recent highs; Confidence: 0.65
JCI,0.65,4,57,stable,False,,,3.7,9.4,4 contractions detected; Pullback range: 3.7% - 9.4%; Volume trend: stable; Price near recent highs; Confidence: 0.65
RSG,0.65,4,63,stable,False,,,2.8,6.9,4 contractions detected; Pullback range: 2.8% - 6.9%; Volume trend: stable; Price near recent highs; Confidence: 0.65
PH,0.65,4,57,stable,False,,,4.2,7.2,4 contractions detected; Pullback range: 4.2% - 7.2%; Volume trend: stable; Price near recent highs; Confidence: 0.65
VZ,0.65,4,61,stable,False,,,3.0,4.9,4 contractions detected; Pullback range: 3.0% - 4.9%; Volume trend: stable; Price near recent highs; Confidence: 0.65
O,0.65,2,42,stable,False,,,3.9,4.1,2 contractions detected; Pullback range: 3.9% - 4.1%; Volume trend: stable; Price near recent highs; Confidence: 0.65
LIN,0.65,2,34,stable,False,,,2.8,3.8,2 contractions detected; Pullback range: 2.8% - 3.8%; Volume trend: stable; Price near recent highs; Confidence: 0.65
EBAY,0.65,2,41,stable,False,,,6.5,12.8,2 contractions detected; Pullback range: 6.5% - 12.8%; Volume trend: stable; Price near recent highs; Confidence: 0.65
CRM,0.55,2,56,increasing,False,,,9.1,17.3,2 contractions detected; Pullback range: 9.1% - 17.3%; Volume trend: increasing; Price near recent highs; Confidence: 0.55
ADBE,0.55,2,51,increasing,False,,,9.1,12.3,2 contractions detected; Pullback range: 9.1% - 12.3%; Volume trend: increasing; Price near recent highs; Confidence: 0.55
DXCM,0.55,2,36,increasing,False,,,10.8,16.9,2 contractions detected; Pullback range: 10.8% - 16.9%; Volume trend: increasing; Price near recent highs; Confidence: 0.55
UPS,0.55,2,54,increasing,False,,,8.2,19.1,2 contractions detected; Pullback range: 8.2% - 19.1%; Volume trend: increasing; Price near recent highs; Confidence: 0.55
EMR,0.55,2,44,increasing,False,,,4.8,17.7,2 contractions detected; Pullback range: 4.8% - 17.7%; Volume trend: increasing; Price near recent highs; Confidence: 0.55
